line	trial	Zn	Cu	Fe	Cd
NE02558	HWWpanel_2013_Tipton	22.53625739	3.931501419	23.59638736	0.012654107
NW03666	HWWpanel_2013_Tipton	22.93145235	4.149997863	24.13195699	0.012380196
NE04490	HWWpanel_2013_Tipton	26.82114283	4.484228968	27.77238033	0.011928148
NE05430	HWWpanel_2013_Tipton	34.28576767	5.614940938	29.64588792	0.020328831
NE05496	HWWpanel_2013_Tipton	20.02321521	3.805301386	21.66449541	0.01601169
NE05548	HWWpanel_2013_Tipton	24.20113908	4.565773423	25.51687999	0.011379682
NE06545	HWWpanel_2013_Tipton	23.32849264	3.831405056	23.11292199	0.013509541
NE06607	HWWpanel_2013_Tipton	23.18103476	3.521432945	26.19610837	0.013729243
ROBIDOUX	HWWpanel_2013_Tipton	21.87271264	3.930246601	24.80555254	0.010614827
NI06736	HWWpanel_2013_Tipton	23.28000053	3.855933095	25.44659639	0.012787247
NI06737	HWWpanel_2013_Tipton	25.24750228	4.344782888	25.15905493	0.011256061
NI07703	HWWpanel_2013_Tipton	24.83810993	4.024429644	25.98353745	0.010138275
NI08707	HWWpanel_2013_Tipton	27.39625739	4.756501419	26.25638736	0.018254107
NI08708	HWWpanel_2013_Tipton	25.04619222	4.515486083	24.75100577	0.012815118
